CPP_matlab_0,Time _0,CPP_matlab_1,Time_1 ,CPP_matlab_2,Time_2 ,CPP_matlab_3,Time_3 ,CPP_matlab_4,Time_4,CPP_matlab_5,Time_5,CPP_matlab_6,Time_6
17.58995708,23374,,,,,13.04679392,4241,13.68587795,4241,13.6806973,4241,15.13040047,4241
17.96680984,23815,,,,,10.93582651,4321,15.26714496,4321,13.28180674,4321,11.57511292,4321
13.88547141,24256,,,,,13.77502294,4401,12.93812919,4401,16.60066334,4401,12.73044848,4401
19.59007328,24697,,,,,15.02173539,4481,19.21086676,4481,15.39967056,4481,13.73538538,4481
16.58352497,25138,,,,,17.93784783,4561,16.13997996,4561,11.07442456,4561,16.13533964,4561
13.01692287,25579,,,,,16.95113893,4641,11.04172475,4641,19.77715488,4641,11.17124748,4641
14.52080386,26020,,,,,16.86315515,4721,15.92900212,4721,14.80603367,4721,16.77760419,4721
13.6426519,26461,,,,,13.69814478,4801,15.0030121,4801,14.86005635,4801,18.19778758,4801
15.43388746,26902,,,,,11.95091137,4881,17.17893992,4881,11.918796,4881,14.35997541,4881
15.60737301,27343,,,,,15.45036574,4961,15.67229089,4961,13.95945702,4961,14.46224408,4961
16.93100649,27784,,,,,14.66714144,5041,14.66329056,5041,15.75336568,5041,15.44937153,5041
15.16096349,28225,,,,,19.87515831,5121,12.63287766,5121,13.42531928,5121,15.17394371,5121
12.43191539,28666,,,,,17.45958995,5201,13.88748115,5201,13.13112794,5201,9.779999831,5201
15.25909168,29107,,,,,16.20609779,5281,12.28766102,5281,13.25842326,5281,15.46360251,5281
15.47242897,29548,,,,,15.50420521,5361,11.75452812,5361,11.72017035,5361,11.05377039,5361
14.34235149,29989,,,,,15.82800326,5441,12.45584172,5441,11.70719339,5441,13.29590205,5441
13.22632365,30430,,,,,11.979797,5521,11.55903979,5521,13.66416513,5521,16.06027046,5521
16.91533151,30871,,,,,12.06301593,5601,10.99509711,5601,13.54635958,5601,13.02104881,5601
13.63698836,31312,,,,,9.991767807,5681,14.92194908,5681,11.91892519,5681,15.52540214,5681
,,,,,,10.72432882,5761,15.0985706,5761,13.05303291,5761,12.48381739,5761
,,,,,,14.88400296,5841,14.0281259,5841,14.01507451,5841,15.33686404,5841
,,,,,,7.772974617,5921,12.843382,5921,13.97485166,5921,11.50410274,5921
,,,,,,16.14672197,6001,16.80220291,6001,13.94504341,6001,16.62904526,6001
,,,,,,13.3157682,6081,12.62863068,6081,13.5969153,6081,17.56678679,6081
,,,,,,12.81810115,6161,13.36041231,6161,13.69517798,6161,12.31114083,6161
,,,,,,10.88707081,6241,13.916238,6241,14.76039739,6241,10.69176984,6241
,,,,,,13.26033527,6321,15.01629317,6321,14.7719022,6321,15.69279575,6321
,,,,,,16.57638138,6401,10.12705167,6401,11.32477185,6401,14.33491921,6401
,,,,,,11.22968749,6481,12.588545,6481,15.67587611,6481,14.96410514,6481
,,,,,,12.36931979,6561,16.00556268,6561,15.27270476,6561,15.60120828,6561
,,,,,,14.43835376,6641,11.62570859,6641,10.86466774,6641,15.24980929,6641
,,,,,,16.40135832,6721,15.83621614,6721,12.14527076,6721,13.52324763,6721
,,,,,,15.51115154,6801,13.86011525,6801,13.31962157,6801,15.08061399,6801
,,,,,,11.57411893,6881,12.63075473,6881,12.47567684,6881,15.77414462,6881
,,,,,,13.71985219,6961,13.15900908,6961,11.14709904,6961,15.80170713,6961
,,,,,,20.18017538,7041,13.62534787,7041,15.68175175,7041,13.82173139,7041
,,,,,,21.34372556,7121,9.657512459,7121,14.1114323,7121,16.35953832,7121
,,,,,,23.4541475,7201,16.84836579,7201,14.78479425,7201,14.76931672,7201
,,,,,,24.76796296,7281,14.61022092,7281,13.88046585,7281,14.31058818,7281
,,,,,,20.0488148,7361,11.52954652,7361,15.6095576,7361,16.59973404,7361
,,,,,,16.27185945,7441,12.24804033,7441,12.75497216,7441,11.98130292,7441
,,,,,,18.30310733,7521,12.93014531,7521,12.56221952,7521,13.43280763,7521
,,,,,,20.74102373,7601,15.50230726,7601,14.40095458,7601,12.02017521,7601
,,,,,,19.63562743,7681,13.428565,7681,15.97277952,7681,12.74598103,7681
,,,,,,19.34771851,7761,11.94290712,7761,11.19571619,7761,9.257502144,7761
,,,,,,17.88798485,7841,13.67140728,7841,12.75414832,7841,15.07112403,7841
,,,,,,15.50870135,7921,14.53498234,7921,14.68164399,7921,14.4163112,7921
,,,,,,18.80911278,8001,13.93580863,8001,10.70643858,8001,14.69176544,8001
,,,,,,20.54370962,8081,16.093292,8081,13.81631292,8081,17.57985301,8081
,,,,,,22.21096252,8161,13.31294127,8161,12.53737581,8161,13.74572707,8161
,,,,,,16.986116,8241,17.39407652,8241,13.7216659,8241,14.28163315,8241
,,,,,,13.18474682,8321,14.74579026,8321,15.14143159,8321,15.90379966,8321
,,,,,,16.01110655,8401,9.664689082,8401,13.18442295,8401,16.07472353,8401
,,,,,,18.26398941,8481,14.70397938,8481,14.33827968,8481,13.01559012,8481
,,,,,,18.45450863,8561,12.95349783,8561,11.34746893,8561,16.13622185,8561
,,,,,,17.58707391,8641,10.68210421,8641,11.76309394,8641,9.345768609,8641
,,,,,,15.01768125,8721,11.87699993,8721,10.06869665,8721,13.75685163,8721
,,,,,,13.06073104,8801,12.47478731,8801,13.55369688,8801,11.93755915,8801
,,,,,,13.40673381,8881,15.73726873,8881,13.7589638,8881,13.37880412,8881
,,,,,,14.39452606,8961,13.12691347,8961,9.766332174,8961,12.88389096,8961
,,,,,,20.39111631,9041,15.68048966,9041,14.80473553,9041,14.19913141,9041
,,,,,,21.49269301,9121,10.92501622,9121,17.89151655,9121,16.20172714,9121
,,,,,,22.44968095,9201,9.04283101,9201,20.26591595,9201,12.64074865,9201
,,,,,,22.25181556,9281,13.84712725,9281,19.28816937,9281,9.545774579,9281
,,,,,,17.5059359,9361,10.43877212,9361,21.98092176,9361,8.715822422,9361
,,,,,,19.50597357,9441,10.34647317,9441,22.52680801,9441,12.26556631,9441
,,,,,,18.76755123,9521,14.15053474,9521,20.48047483,9521,13.90473244,9521
,,,,,,19.15348452,9601,12.52659014,9601,23.00497032,9601,12.48041323,9601
,,,,,,22.17635542,9681,11.70818759,9681,22.21504612,9681,11.38352269,9681
,,,,,,20.88161271,9761,12.7020772,9761,20.4956982,9761,13.37675835,9761
,,,,,,19.26835211,9841,10.17252531,9841,22.47378795,9841,16.86010923,9841
,,,,,,18.85995722,9921,10.82926222,9921,21.98948247,9921,11.71429204,9921
,,,,,,22.87858595,10001,13.00469777,10001,14.7748683,10001,10.18578865,10001
,,,,,,23.70508802,10081,13.04133639,10081,18.53869548,10081,12.69809465,10081
,,,,,,23.56104506,10161,14.97445288,10161,23.18647275,10161,13.50330815,10161
,,,,,,21.13505685,10241,16.07886093,10241,24.63847405,10241,14.34339003,10241
,,,,,,17.50210264,10321,13.13671849,10321,24.94675964,10321,9.311997933,10321
,,,,,,18.83858435,10401,11.69793576,10401,26.95917955,10401,11.33421716,10401
,,,,,,18.98602256,10481,11.85891365,10481,27.75405738,10481,11.75249648,10481
,,,,,,19.75076886,10561,13.46242361,10561,26.91760552,10561,14.11693544,10561
,,,,,,15.36289405,10641,13.06279951,10641,28.70908447,10641,12.9684218,10641
,,,,,,17.31131655,10721,13.33286845,10721,30.30957489,10721,12.50214814,10721
