CPP_matlab_0,Time _0,CPP_matlab_1,Time_1 ,CPP_matlab_2,Time_2 ,CPP_matlab_3,Time_3 ,CPP_matlab_4,Time_4,CPP_matlab_5,Time_5,CPP_matlab_6,Time_6
30.73346809,23374,,,,,10.70707436,4241,11.53814896,4241,11.28099058,4241,15.43152697,4241
36.74931417,23815,,,,,12.37707762,4321,14.96258549,4321,17.99152706,4321,15.65465577,4321
22.23587455,24256,,,,,13.88715734,4401,19.21413627,4401,12.96023041,4401,15.90053503,4401
31.18027286,24697,,,,,12.74895373,4481,13.91410736,4481,13.67316833,4481,12.82060009,4481
34.84847973,25138,,,,,13.88952892,4561,13.24457273,4561,16.39066098,4561,10.21659719,4561
37.63472711,25579,,,,,14.47137437,4641,14.2538265,4641,15.88212776,4641,16.01860216,4641
39.14948968,26020,,,,,13.60033613,4721,15.07573946,4721,15.07588105,4721,18.00457439,4721
27.93003952,26461,,,,,15.14360229,4801,20.52039726,4801,11.63264667,4801,16.35861787,4801
25.06417294,26902,,,,,16.52106595,4881,14.52856937,4881,18.49710284,4881,14.92623194,4881
23.47743093,27343,,,,,14.36397808,4961,12.30209142,4961,17.11908533,4961,13.80197401,4961
30.3435517,27784,,,,,13.89937979,5041,11.86245436,5041,12.88517059,5041,12.25027435,5041
29.72519335,28225,,,,,12.28153676,5121,13.9671909,5121,17.99417352,5121,14.36781702,5121
29.36756093,28666,,,,,15.67146944,5201,13.98540905,5201,15.10549178,5201,14.91193937,5201
16.40138402,29107,,,,,9.140028446,5281,16.74153366,5281,15.38655171,5281,14.66781932,5281
25.68035249,29548,,,,,11.26506042,5361,17.39092516,5361,14.33606097,5361,12.4158767,5361
33.56763561,29989,,,,,11.29640181,5441,12.46796299,5441,14.6501584,5441,13.69287605,5441
29.12453979,30430,,,,,14.73702078,5521,13.28229935,5521,12.27804261,5521,13.10484566,5521
16.11189935,30871,,,,,16.55106742,5601,12.59805566,5601,15.6407921,5601,16.72629397,5601
14.7914285,31312,,,,,12.43145332,5681,11.92459009,5681,13.37745847,5681,14.63766321,5681
,,,,,,19.09294203,5761,16.66420189,5761,12.8661027,5761,11.29796213,5761
,,,,,,13.19701068,5841,15.19359761,5841,12.41552222,5841,13.44886139,5841
,,,,,,14.06394607,5921,13.71071937,5921,12.82830687,5921,14.2618454,5921
,,,,,,12.28512222,6001,13.79793856,6001,16.04544538,6001,11.72076525,6001
,,,,,,13.74670336,6081,13.75900052,6081,15.44530196,6081,14.40922749,6081
,,,,,,12.64389134,6161,12.27840149,6161,13.46600434,6161,13.51129871,6161
,,,,,,12.10032324,6241,18.70616673,6241,15.92519022,6241,13.11642737,6241
,,,,,,16.57280925,6321,16.48658813,6321,11.05051867,6321,12.9233843,6321
,,,,,,15.08760896,6401,15.10136843,6401,12.40599367,6401,15.0012931,6401
,,,,,,16.15698665,6481,16.18974892,6481,12.75706456,6481,14.68032963,6481
,,,,,,16.39239066,6561,13.01635206,6561,13.59581548,6561,16.58290293,6561
,,,,,,14.88713678,6641,11.63889292,6641,13.14067204,6641,15.38227319,6641
,,,,,,11.92319162,6721,21.69193824,6721,12.51520204,6721,13.95876069,6721
,,,,,,13.09261276,6801,17.54291898,6801,14.16859295,6801,14.53331486,6801
,,,,,,14.01875096,6881,15.35567166,6881,12.5109824,6881,14.81089365,6881
,,,,,,15.75545013,6961,12.93831677,6961,13.05177241,6961,15.76862092,6961
,,,,,,16.19315646,7041,11.66138914,7041,15.80136349,7041,17.13361568,7041
,,,,,,13.07223008,7121,16.00886792,7121,16.55894506,7121,12.07662378,7121
,,,,,,20.79788202,7201,10.54695146,7201,16.21475067,7201,12.87137612,7201
,,,,,,15.71610545,7281,16.69005073,7281,14.34994993,7281,13.04342694,7281
,,,,,,18.64669258,7361,15.09108001,7361,17.07122715,7361,14.09828139,7361
,,,,,,14.71274913,7441,16.12354831,7441,11.02947423,7441,11.91697798,7441
,,,,,,17.77038022,7521,13.81187836,7521,11.79527548,7521,11.20805918,7521
,,,,,,15.09551028,7601,10.86313065,7601,14.02388356,7601,14.26379439,7601
,,,,,,27.641332,7681,13.00086703,7681,14.04226822,7681,13.1965575,7681
,,,,,,11.29959027,7761,10.75446475,7761,12.99141675,7761,15.36155048,7761
,,,,,,16.35611446,7841,16.55640123,7841,13.30896775,7841,13.64075769,7841
,,,,,,13.12265193,7921,14.57053881,7921,11.80762793,7921,13.44759923,7921
,,,,,,23.55346467,8001,15.51946581,8001,15.56159862,8001,13.08787648,8001
,,,,,,15.62424738,8081,11.76866966,8081,13.33161746,8081,15.21107335,8081
,,,,,,15.03202921,8161,14.11660778,8161,15.0084356,8161,14.15078873,8161
,,,,,,25.19188531,8241,11.70835139,8241,13.40449112,8241,16.51185787,8241
,,,,,,15.37696011,8321,12.9547875,8321,11.48829693,8321,12.82429463,8321
,,,,,,13.9683715,8401,13.39860106,8401,13.77971095,8401,14.51368368,8401
,,,,,,12.42560188,8481,13.69551154,8481,13.57911064,8481,13.16379405,8481
,,,,,,13.62336512,8561,14.05202291,8561,15.35547076,8561,17.5063174,8561
,,,,,,18.99731943,8641,13.06295652,8641,14.12686578,8641,13.64911351,8641
,,,,,,15.31653461,8721,16.63569061,8721,14.97782237,8721,13.73626039,8721
,,,,,,12.94871219,8801,18.8866666,8801,15.31263175,8801,14.26721385,8801
,,,,,,13.88968993,8881,14.70663419,8881,15.78272043,8881,12.10939101,8881
,,,,,,15.18973788,8961,14.15775544,8961,5.94142018,8961,12.47284288,8961
,,,,,,15.1727904,9041,14.5341244,9041,14.35167837,9041,15.10278055,9041
,,,,,,20.04138585,9121,11.71109598,9121,15.28743207,9121,13.84175527,9121
,,,,,,18.48553843,9201,17.82270911,9201,18.25372796,9201,7.357989045,9201
,,,,,,17.25114796,9281,13.51609847,9281,17.24233819,9281,14.09239753,9281
,,,,,,14.27369643,9361,14.58307006,9361,16.07745543,9361,17.4674761,9361
,,,,,,19.18186002,9441,14.13392075,9441,18.65046271,9441,13.68549043,9441
,,,,,,14.92510802,9521,13.57243328,9521,13.98603898,9521,12.58502673,9521
,,,,,,18.29764289,9601,17.10479707,9601,19.33340457,9601,15.78307919,9601
